bill_no,line_no,product_code,qty,unit_price,line_type,ts
S04/20240301/00001,1,P107047,2,413.27,SALE,2024-03-01T20:35:49
S04/20240301/00001,2,P101292,4,377.27,SALE,2024-03-01T20:35:49
S04/20240301/00001,3,P101507,3,619.87,SALE,2024-03-01T20:35:49
S04/20240301/00001,4,DISC,1,-437.58,DISCOUNT,2024-03-01T20:35:49
S04/20240301/00001,5,TAX,1,239.71,TAX,2024-03-01T20:35:49
S04/20240301/00001,6,TENDER,1,3997.36,TENDER,2024-03-01T20:35:49
S04/20240301/00002,1,P105890,1,1102.54,SALE,2024-03-01T18:22:29
S04/20240301/00002,2,P105860,3,141.88,SALE,2024-03-01T18:22:29
S04/20240301/00002,3,P101543,2,178.10,SALE,2024-03-01T18:22:29
S04/20240301/00002,4,DISC,1,-43.14,DISCOUNT,2024-03-01T18:22:29
S04/20240301/00002,5,TAX,1,116.51,TAX,2024-03-01T18:22:29
S04/20240301/00002,6,TENDER,1,1957.75,TENDER,2024-03-01T18:22:29
S04/20240301/00003,1,P100224,1,78.05,SALE,2024-03-01T17:24:19
S04/20240301/00003,2,P106288,3,42.41,SALE,2024-03-01T17:24:19
S04/20240301/00003,3,P101010,2,71.39,SALE,2024-03-01T17:24:19
S04/20240301/00003,4,P104637,3,294.49,SALE,2024-03-01T17:24:19
S04/20240301/00003,5,P107667,2,338.95,SALE,2024-03-01T17:24:19
S04/20240301/00003,6,P102460,2,548.91,SALE,2024-03-01T17:24:19
S04/20240301/00003,7,TAX,1,269.65,TAX,2024-03-01T17:24:19
S04/20240301/00003,8,TENDER,1,3276.90,TENDER,2024-03-01T17:24:19
S04/20240301/00004,1,P107695,1,282.58,SALE,2024-03-01T19:10:13
S04/20240301/00004,2,P103159,4,1193.28,SALE,2024-03-01T19:10:13
S04/20240301/00004,3,P101004,1,708.94,SALE,2024-03-01T19:10:13
S04/20240301/00004,4,P107414,3,539.23,SALE,2024-03-01T19:10:13
S04/20240301/00004,5,P105609,2,817.71,SALE,2024-03-01T19:10:13
S04/20240301/00004,6,TAX,1,216.82,TAX,2024-03-01T19:10:13
S04/20240301/00004,7,TENDER,1,9234.57,TENDER,2024-03-01T19:10:13
S04/20240301/00005,1,P107989,1,184.95,SALE,2024-03-01T09:42:05
S04/20240301/00005,2,P100593,2,27.42,SALE,2024-03-01T09:42:05
S04/20240301/00005,3,P107630,1,275.41,SALE,2024-03-01T09:42:05
S04/20240301/00005,4,P106336,1,456.47,SALE,2024-03-01T09:42:05
S04/20240301/00005,5,P102975,3,226.32,SALE,2024-03-01T09:42:05
S04/20240301/00005,6,P100380,3,136.58,SALE,2024-03-01T09:42:05
S04/20240301/00005,7,TAX,1,339.15,TAX,2024-03-01T09:42:05
S04/20240301/00005,8,TENDER,1,2399.52,TENDER,2024-03-01T09:42:05
S04/20240301/00006,1,P107354,1,205.43,SALE,2024-03-01T20:05:48
S04/20240301/00006,2,P101669,2,48.95,SALE,2024-03-01T20:05:48
S04/20240301/00006,3,P108110,1,15.95,SALE,2024-03-01T20:05:48
S04/20240301/00006,4,TAX,1,32.42,TAX,2024-03-01T20:05:48
S04/20240301/00006,5,TENDER,1,351.70,TENDER,2024-03-01T20:05:48
S04/20240301/00007,1,P100049,1,66.95,SALE,2024-03-01T14:00:16
S04/20240301/00007,2,P101174,3,50.10,SALE,2024-03-01T14:00:16
S04/20240301/00007,3,P108026,2,89.33,SALE,2024-03-01T14:00:16
S04/20240301/00007,4,TAX,1,51.72,TAX,2024-03-01T14:00:16
S04/20240301/00007,5,TENDER,1,447.63,TENDER,2024-03-01T14:00:16
S04/20240301/00008,1,P102181,1,1394.08,SALE,2024-03-01T14:07:08
S04/20240301/00008,2,P100406,6,342.13,SALE,2024-03-01T14:07:08
S04/20240301/00008,3,P108234,2,32.17,SALE,2024-03-01T14:07:08
S04/20240301/00008,4,P104389,2,169.98,SALE,2024-03-01T14:07:08
S04/20240301/00008,5,TAX,1,175.41,TAX,2024-03-01T14:07:08
S04/20240301/00008,6,TENDER,1,4026.57,TENDER,2024-03-01T14:07:08
S04/20240301/00009,1,P107018,2,179.95,SALE,2024-03-01T13:06:22
S04/20240301/00009,2,P102255,3,167.76,SALE,2024-03-01T13:06:22
S04/20240301/00009,3,P103727,1,116.95,SALE,2024-03-01T13:06:22
S04/20240301/00009,4,TAX,1,32.03,TAX,2024-03-01T13:06:22
S04/20240301/00009,5,TENDER,1,1012.16,TENDER,2024-03-01T13:06:22
S04/20240301/00010,1,P103668,1,1416.40,SALE,2024-03-01T14:28:49
S04/20240301/00010,2,P101345,2,69.59,SALE,2024-03-01T14:28:49
S04/20240301/00010,3,P102833,3,680.71,SALE,2024-03-01T14:28:49
S04/20240301/00010,4,P102682,1,95.25,SALE,2024-03-01T14:28:49
S04/20240301/00010,5,P108262,2,601.82,SALE,2024-03-01T14:28:49
S04/20240301/00010,6,P106858,2,245.00,SALE,2024-03-01T14:28:49
S04/20240301/00010,7,P101321,1,24.76,SALE,2024-03-01T14:28:49
S04/20240301/00010,8,TAX,1,493.96,TAX,2024-03-01T14:28:49
S04/20240301/00010,9,TENDER,1,5905.32,TENDER,2024-03-01T14:28:49
S04/20240301/00011,1,P102375,1,487.64,SALE,2024-03-01T14:57:27
S04/20240301/00011,2,P102801,1,99.95,SALE,2024-03-01T14:57:27
S04/20240301/00011,3,P106934,1,1554.16,SALE,2024-03-01T14:57:27
S04/20240301/00011,4,DISC,1,-187.46,DISCOUNT,2024-03-01T14:57:27
S04/20240301/00011,5,TAX,1,96.51,TAX,2024-03-01T14:57:27
S04/20240301/00011,6,TENDER,1,2050.80,TENDER,2024-03-01T14:57:27
S04/20240301/00012,1,P104898,4,161.27,SALE,2024-03-01T18:12:27
S04/20240301/00012,2,P104454,2,47.84,SALE,2024-03-01T18:12:27
S04/20240301/00012,3,P105923,3,242.95,SALE,2024-03-01T18:12:27
S04/20240301/00012,4,P100754,1,85.74,SALE,2024-03-01T18:12:27
S04/20240301/00012,5,P103882,3,269.95,SALE,2024-03-01T18:12:27
S04/20240301/00012,6,P100164,3,581.13,SALE,2024-03-01T18:12:27
S04/20240301/00012,7,TAX,1,537.35,TAX,2024-03-01T18:12:27
S04/20240301/00012,8,TENDER,1,4645.94,TENDER,2024-03-01T18:12:27
S04/20240301/00013,1,P102566,3,415.94,SALE,2024-03-01T19:53:40
S04/20240301/00013,2,P104219,2,230.95,SALE,2024-03-01T19:53:40
S04/20240301/00013,3,P104651,2,540.51,SALE,2024-03-01T19:53:40
S04/20240301/00013,4,P100281,1,449.95,SALE,2024-03-01T19:53:40
S04/20240301/00013,5,TAX,1,270.04,TAX,2024-03-01T19:53:40
S04/20240301/00013,6,TENDER,1,3510.73,TENDER,2024-03-01T19:53:40
S04/20240301/00014,1,P103118,3,40.95,SALE,2024-03-01T19:15:29
S04/20240301/00014,2,TAX,1,6.14,TAX,2024-03-01T19:15:29
S04/20240301/00014,3,TENDER,1,128.99,TENDER,2024-03-01T19:15:29
S04/20240301/00015,1,P103328,2,236.27,SALE,2024-03-01T16:56:54
S04/20240301/00015,2,P101940,2,185.49,SALE,2024-03-01T16:56:54
S04/20240301/00015,3,P100463,1,281.78,SALE,2024-03-01T16:56:54
S04/20240301/00015,4,TAX,1,163.39,TAX,2024-03-01T16:56:54
S04/20240301/00015,5,TENDER,1,1288.69,TENDER,2024-03-01T16:56:54
S04/20240301/00016,1,P101779,1,197.95,SALE,2024-03-01T19:03:41
S04/20240301/00016,2,P105017,3,193.22,SALE,2024-03-01T19:03:41
S04/20240301/00016,3,P102811,4,199.15,SALE,2024-03-01T19:03:41
S04/20240301/00016,4,P106669,2,102.72,SALE,2024-03-01T19:03:41
S04/20240301/00016,5,P106648,2,330.96,SALE,2024-03-01T19:03:41
S04/20240301/00016,6,P101543,3,178.10,SALE,2024-03-01T19:03:41
S04/20240301/00016,7,P107337,2,324.16,SALE,2024-03-01T19:03:41
S04/20240301/00016,8,TAX,1,326.02,TAX,2024-03-01T19:03:41
S04/20240301/00016,9,TENDER,1,3950.21,TENDER,2024-03-01T19:03:41
S04/20240301/00017,1,P103934,1,250.41,SALE,2024-03-01T18:08:48
S04/20240301/00017,2,P100827,3,1218.17,SALE,2024-03-01T18:08:48
S04/20240301/00017,3,P106115,1,128.36,SALE,2024-03-01T18:08:48
S04/20240301/00017,4,TAX,1,68.18,TAX,2024-03-01T18:08:48
S04/20240301/00017,5,TENDER,1,4101.46,TENDER,2024-03-01T18:08:48
S04/20240301/00018,1,P102060,1,155.69,SALE,2024-03-01T11:22:02
S04/20240301/00018,2,P105636,1,526.95,SALE,2024-03-01T11:22:02
S04/20240301/00018,3,P107777,3,222.77,SALE,2024-03-01T11:22:02
S04/20240301/00018,4,P108076,5,145.31,SALE,2024-03-01T11:22:02
S04/20240301/00018,5,P108125,2,129.06,SALE,2024-03-01T11:22:02
S04/20240301/00018,6,P105302,1,258.62,SALE,2024-03-01T11:22:02
S04/20240301/00018,7,P101626,1,941.95,SALE,2024-03-01T11:22:02
S04/20240301/00018,8,P102520,2,597.95,SALE,2024-03-01T11:22:02
S04/20240301/00018,9,DISC,1,-116.94,DISCOUNT,2024-03-01T11:22:02
S04/20240301/00018,10,TAX,1,308.72,TAX,2024-03-01T11:22:02
S04/20240301/00018,11,TENDER,1,4923.87,TENDER,2024-03-01T11:22:02
S04/20240301/00019,1,P102640,1,241.34,SALE,2024-03-01T10:37:29
